Country,Region,Maternal_Mortality,Infant_Mortality,Life_Expectancy
Nigeria,Africa,993,65.6,62.2
Chad,Africa,748,61.1,60
South Sudan,Africa,692,58.6,60.3
Central African Republic,Africa,692,79.3,56.4
Liberia,Africa,628,55.2,61.6
Somalia,Africa,563,81.5,56.5
Afghanistan,South Asia,521,42,54.4
Benin,Africa,518,51.6,63
Guinea-Bissau,Africa,505,45.1,64.5
Guinea,Africa,494,45.8,64.6
Lesotho,Africa,478,52.2,60.2
Madagascar,Africa,445,38.4,68.8
"Congo, Democratic Republic of the",Africa,427,55.8,62.6
Burundi,Africa,392,35.3,68.1
Mauritania,Africa,381,29.9,65.9
Kenya,Africa,379,26.8,70.4
Mali,Africa,367,55.8,63.2
Cote d'Ivoire,Africa,359,52.3,63.2
Zimbabwe,Africa,358,32.8,67.2
"Gambia, The",Africa,354,35,68.4
Sierra Leone,Africa,354,70.1,59.4
Niger,Africa,350,63,60.9
Togo,Africa,349,34.5,72.1
Haiti,Central America and the Caribbean,328,35,65.6
Eritrea,Africa,291,39,67.5
Tanzania,Africa,276,28.4,70.8
Nauru,Australia and Oceania,273,7.5,68.6
Cameroon,Africa,258,44.6,64.2
Sudan,Africa,256,39.7,67.8
Burkina Faso,Africa,242,48,64.2
"Congo, Republic of the",Africa,241,29.9,72.9
Senegal,Africa,237,30.4,70.6
Ghana,Africa,234,30.5,70.1
Gabon,Africa,233,26,70.4
Rwanda,Africa,229,27.4,66.6
Venezuela,South America,227,13.6,74.5
Malawi,Africa,225,28.9,73
Ethiopia,Africa,195,31.3,67.7
Timor-Leste,East and Southeast Asia,192,41.9,70.5
Papua New Guinea,East and Southeast Asia,189,31.3,70.1
Burma,East and Southeast Asia,185,30.8,70.3
Angola,Africa,183,46.1,62.9
Comoros,Africa,179,53.9,67.8
Equatorial Guinea,Africa,174,76.9,63.9
Uganda,Africa,170,27.5,69.7
Tuvalu,Australia and Oceania,170,27.2,69
Djibouti,Africa,162,44.3,65.9
Pakistan,South Asia,155,50.3,70.3
Marshall Islands,Australia and Oceania,155,20.1,75.2
Botswana,Africa,155,27.8,66.4
Bolivia,South America,146,22.1,72.5
Nepal,South Asia,142,23.4,73
Indonesia,East and Southeast Asia,140,18.5,73.6
Namibia,Africa,139,27.1,65.9
Cambodia,East and Southeast Asia,137,27.2,71.4
Jamaica,Central America and the Caribbean,130,14.5,76.3
"Micronesia, Federated States of",Australia and Oceania,129,20.4,75
Dominican Republic,Central America and the Caribbean,124,20.8,72.6
Solomon Islands,Australia and Oceania,123,18.6,77.2
South Africa,Africa,118,19.7,71.9
Eswatini,Africa,118,38,60.7
Yemen,Middle East,118,42.4,68.2
Bangladesh,South Asia,115,22,75.2
Laos,East and Southeast Asia,112,34.2,69
Samoa,Australia and Oceania,101,17.2,75.7
Vanuatu,Australia and Oceania,100,13.4,75.7
Guatemala,Central America and the Caribbean,94,23.4,73.5
Palau,Australia and Oceania,89,10.6,75.2
Zambia,Africa,85,30.1,66.9
Philippines,East and Southeast Asia,84,18.5,70.8
Suriname,South America,84,29.3,72.7
Mozambique,Africa,82,56.7,58.3
Kiribati,Australia and Oceania,80,30.8,68.5
India,South Asia,80,30.5,68.2
"Bahamas, The",Central America and the Caribbean,76,9.2,76.7
Guyana,South America,75,20.6,72.4
Sao Tome and Principe,Africa,75,41.7,67.7
Saint Kitts and Nevis,Central America and the Caribbean,74,7.9,77.6
Morocco,Africa,70,17.8,74.2
Belize,Central America and the Caribbean,67,11.3,74.3
"Korea, North",East and Southeast Asia,67,14.7,73.5
Tonga,Australia and Oceania,67,11.5,78
Brazil,South America,67,12.7,76.3
Iraq,Middle East,66,18.3,73.7
Mauritius,Africa,66,11.4,75.4
Algeria,Africa,62,18.6,77.9
Nicaragua,Central America and the Caribbean,60,14.1,74.7
Colombia,South America,59,11.6,74.9
Libya,Africa,59,10.4,77.7
Paraguay,South America,58,21.4,78.8
Saint Vincent and the Grenadines,Central America and the Caribbean,56,12,77.2
Ecuador,South America,55,11.2,74.9
Trinidad and Tobago,Central America and the Caribbean,54,14.7,76.5
Peru,South America,51,10.6,68.9
Grenada,Central America and the Caribbean,48,8.8,76.3
Vietnam,East and Southeast Asia,48,13.8,76.1
Bhutan,South Asia,47,23,73.7
Honduras,Central America and the Caribbean,47,15.4,73.1
Saint Lucia,Central America and the Caribbean,44,11.3,79.4
Kyrgyzstan,Central Asia,42,24,72.9
Mexico,North America,42,12.3,74.6
Seychelles,Africa,42,10,76.6
Mongolia,East and Southeast Asia,41,8.6,71.9
Cabo Verde,Africa,40,21.9,74.3
El Salvador,Central America and the Caribbean,39,10,75.9
Panama,Central America and the Caribbean,37,13.2,79.2
Dominica,Central America and the Caribbean,36,10.5,78.7
Tunisia,Africa,36,10.6,77.3
Brunei,East and Southeast Asia,36,9.8,78.9
Antigua and Barbuda,Central America and the Caribbean,35,13.3,78.3
Cuba,Central America and the Caribbean,35,5.2,80.1
Barbados,Central America and the Caribbean,35,15.1,79
Thailand,East and Southeast Asia,34,6.2,78.2
Argentina,South America,33,7.4,78.8
Maldives,South Asia,32,23.7,77.4
Jordan,Middle East,31,12.9,76.5
Fiji,Australia and Oceania,30,9.4,74.8
Uzbekistan,Central Asia,26,17.6,76.2
Malaysia,East and Southeast Asia,26,6.3,76.6
Costa Rica,Central America and the Caribbean,24,6.3,80.3
Georgia,Central Asia,20,20.9,72.8
Syria,Middle East,20,14.7,74.8
Latvia,Europe,19,2.4,76.4
Moldova,Europe,19,13.5,70.1
Armenia,Central Asia,19,11.3,76.7
Sri Lanka,South Asia,18,6.8,76.8
Azerbaijan,Central Asia,18,10.7,75.9
Egypt,Africa,17,16.4,75
Bahrain,Middle East,17,9.6,80.4
United States,North America,17,5,80.9
China,East and Southeast Asia,16,6,78.7
West Bank,Middle East,16,14.2,76.5
Gaza Strip,Middle East,16,14.2,75.5
Iran,Middle East,16,9.7,75.6
Turkey (Turkiye),Middle East,15,17.9,76.7
Uruguay,South America,15,6.9,78.9
Portugal,Europe,15,2.4,81.9
Ukraine,Europe,15,8.4,70.5
Lebanon,Middle East,15,7.3,79.2
Cyprus,Europe,14,7.9,80.2
Tajikistan,Central Asia,14,20.3,71.9
Oman,Middle East,13,13.6,77.4
Canada,North America,12,3.8,84.2
Romania,Europe,12,5.3,76.9
Luxembourg,Europe,12,3.1,83.4
Hungary,Europe,12,4.6,76
Andorra,Europe,11,3.3,83.8
Serbia,Europe,11,4.4,75.3
Puerto Rico,Central America and the Caribbean,11,5.7,82.1
Chile,South America,10,4.5,80.3
Kazakhstan,Central Asia,10,7.9,73.3
Russia,Central Asia,9,6.4,72.3
Lithuania,Europe,8,2.5,76.1
Kuwait,Middle East,8,7,79.6
United Kingdom,Europe,8,3.7,82.2
Finland,Europe,8,1.9,82.2
Malta,Europe,8,4.6,83.6
San Marino,Europe,8,6.1,84.2
France,Europe,7,3.1,82.6
Albania,Europe,7,10.8,79.9
New Zealand,Australia and Oceania,7,3.3,82.9
Saudi Arabia,Middle East,7,11.4,77.2
Italy,Europe,6,3,83
Bosnia and Herzegovina,Europe,6,3.8,78.5
Montenegro,Europe,6,3.1,78.2
Singapore,East and Southeast Asia,6,NA,86.7
Austria,Europe,6,3.2,82.7
Bulgaria,Europe,6,7.5,76.1
Turkmenistan,Central Asia,5,35,72.4
Estonia,Europe,5,2,78.4
Greece,Europe,5,3.4,81.9
Switzerland,Europe,5,3,83.9
Monaco,Europe,5,1.7,89.8
Ireland,Europe,4,3.2,82
Qatar,Middle East,4,6.2,80.3
Netherlands,Europe,4,3.6,81.9
Belgium,Europe,4,3,82.3
Denmark,Europe,4,3.1,82.1
"Korea, South",East and Southeast Asia,4,2.2,83.4
Sweden,Europe,4,2.2,82.9
Slovakia,Europe,4,5,77.2
Germany,Europe,4,3,81.9
Japan,East and Southeast Asia,3,1.8,85.2
Spain,Europe,3,2.4,83
North Macedonia,Europe,3,6.8,77.3
Iceland,Europe,3,1.6,84
Czechia,Europe,3,2.5,78.6
Croatia,Europe,3,3.4,77.7
United Arab Emirates,Middle East,3,4.9,79.9
Slovenia,Europe,3,1.8,82.2
Australia,Australia and Oceania,2,3,83.5
Israel,Middle East,2,2.6,83.1
Poland,Europe,2,4.6,76.7
Belarus,Europe,1,2.1,74.7
Norway,Europe,1,1.8,82.9
